Comment ,Label
"Trường rất xịn xò, view cũng quá okela, thầy cô nhiệt tình, dễ thương lắm ạ",1
"Thầy cô vui tính, dễ thương lắm nha, ngoài ra còn tham gia nhiều hoạt động chương trình vui nhộn, các chương trình học thuật bổ ích cho sinh viên nữa nha",1
"Trường có không gian xanh, mát mẻ. Thầy cô dễ thương, thân thiện, và nhiệt huyết, tận tâm, tận tụy vì sinh viên. Môi trường hoc tập lành mạnh, sinh viên được rèn luyện chuyên môn, kỹ năng. Các hoạt động Đoàn - Hội sôi nổi, giúp sinh viên được thực hiện vai trò, trách nhiệm với cộng đồng",1
"Điểm mạnh nhất của TDMU là đội ngũ giảng viên xuất sắc trong các lĩnh vực. Các thầy cô rất có kinh nghiệm, nhiệt tình và luôn sẵn sàng giúp đỡ sinh viên. Chương trình học cũng được cập nhật thường xuyên để phù hợp với xu hướng và nhu cầu thị trường lao động.
Ngoài ra, TDMU có rất nhiều hoạt động ngoại khóa, CLB và tổ chức sinh viên để sinh viên có thể giao lưu, kết bạn và phát triển các kỹ năng mềm",1
"Thầy cô nhiệt tình, chất lượng đào tạo tốt, sinh viên thân thiện ♥️♥️♥️",1
Trường rộng + đẹp + không gian mát,1
"nhà trường gửi mail rất thiếu thông tin không rõ ràng, hệ thống điểm danh tệ đôi khi quá đông gây ra tình trạng trễ hoặc sập nhưng không có kế hoạch cho những thời điểm đó mà có thì chỉ cho có một chút thời gian ít ỏi cho hơn vài trăm người để rồi hệ thống lại tiếp tục gặp lỗi thiếu ổn định.",0
"Trường rộng, xanh, thiết kế đẹp, nhiều khu vực tự học cho sv, địa điểm lý tưởng để họ tập đây!",1
"Chế độ đăng kí học phần, giải quyết vấn đề rất tệ, học phần đăng kí onl ko dc chuyển qua đăng kí giấy thì nhà trường làm mất đơn 2 3 lần làm chậm trễ việc tốt nghiệp cả năm (chưa kể môn học đâu phài cứ đăng kí là có). Học phí thì cao mà làm việc quá chán. Rất thất vọng !!!",0
"Thông báo xem trên web ở gg k thấy gì hết lun í. Toàn là thông báo hội nghị gì đó k à, mò lên trên fb kiếm mãi mới thấy đc. Mong trường có thể gửi thông báo rõ với dễ tìm",0
"Trường rác rưởi, hạn 20 đóng học phí nhưng ngày 19 kh đăng kí môn được",0
"Giảng viên chuyên môn cao, giảng dạy nhiệt tình. Không gian trường rất rộng và sạch sẽ.",1
Kĩ năng + tin học chất lượng kém mà thu tiền đúng ác thôi cho 1 sao ạ,0
"Trường đẹp, rộng, cơ sở vật chất khá khang trang đầy đủ",1
"Thực sự thất vọng về trường, học phí quá cao so với mặt bằng chung. Chương trình đào tạo không đúng với lúc thông báo tuyển sinh. Thời gian từ lúc hoàn thành báo cáo tốt nghiệp tới lúc cấp bằng quá dài. Cấp bằng (phát bằng thì đúng hơn) chỉ cho sinh viên nhận bằng không làm được cái lễ tốt nghiệp cho đàng hoàng. Đặc biệt trường lúc nào hẹn và hẹn.... Quá chán cho một ngôi trường được đánh giá cao.",0
"Ai nói cơ sở vật chất đầy đủ thì xin thưa.  Phòng thì ko sử dụng được máy chiếu, phòng thì máy lạnh không mở được, phòng thì bàn ghế hư, phòng thì quá rộng mà màn hình chiếu thì quá nhỏ. Dãy I1 phòng nhỏ và rất nóng. Wife khi có khi không. Vậy mà học phí thì cứ tăng đều theo từng học kì. Không hiểu?????",0
Trường quá tệ đăng ký học phần thì tự động xóa rồi nhảy lớp lung tung làm rối hết lịch học với làm việc học phí thì tăng mà trường ngày càng tệ,0
"Không gian lý tưởng, đội ngũ GV rất tận tình, trường có liên kết với các doanh nghiệp hỗ trợ tốt việc làm cho SV.",1
Học phí thì tăng đều qua từng học kỳ còn tiền miễn giảm học phí thì làm quá lâu quá trễ gần cả năm trời vẫn chưa thấy giải ngân còn việc đóng học phí trễ thì khoá đăng ký môn hủy lớp học.,0
Trường khá là kém. Sinh viên đăng kí môn học đã có lịch học mà trường tự động huỷ. Đầu 2023 là kết thúc trương trình đào tạo nhưng đến tận năm 2024 mới mở lại lớp học phần bị huỷ. Thư kí khoa kinh tế không biết sắp xếp lịch học cho sinh viên à?,0
"Trường thiếu giáo viên, chất lượng đào tạo xuống cấp, thầy cô kém, học phí tăng cao, cơ sơ vật chất trung bình yếu, số với giá tiền.",0
Cơ sở vật chất ổn áp lắm nha,1
"Giảng viên luôn vui vẻ, hướng dẫn giảng dạy sinh viên tận tâm. Môi trường vô cùng thân thiện, cơ sở vật chất đầy đủ và hiện đại. Có nhiều view sống ảo cực kì đẹp, có nhiều khu tự học tập dành cho sinh viên vô cùng thoáng mát rộng rãi.",1
