Comment ,Label,1_Comment,2_Comment,tokens,sent_tokens
"Trường rất xịn xò, view cũng quá okela, thầy cô nhiệt tình, dễ thương lắm ạ",1,trường rất xịn xò view cũng quá okela thầy cô nhiệt tình dễ thương lắm ạ,trường rất xịn xò view cũng quá okela thầy cô nhiệt tình dễ thương lắm ạ,"['trường', 'rất', 'xịn_xò', 'view', 'cũng', 'quá', 'okela', 'thầy_cô', 'nhiệt_tình', 'dễ_thương', 'lắm', 'ạ']",trường rất xịn_xò view cũng quá okela thầy_cô nhiệt_tình dễ_thương lắm ạ
"Thầy cô vui tính, dễ thương lắm nha, ngoài ra còn tham gia nhiều hoạt động chương trình vui nhộn, các chương trình học thuật bổ ích cho sinh viên nữa nha",1,thầy cô vui tính dễ thương lắm nha ngoài ra còn tham gia nhiều hoạt động chương trình vui nhộn các chương trình học thuật bổ ích cho sinh viên nữa nha,thầy cô vui tính dễ thương lắm nha ngoài ra còn tham gia nhiều hoạt động chương trình vui nhộn các chương trình học thuật bổ ích cho sinh viên nữa nha,"['thầy_cô', 'vui_tính', 'dễ_thương', 'lắm', 'nha', 'ngoài_ra', 'còn', 'tham_gia', 'nhiều', 'hoạt_động', 'chương_trình', 'vui_nhộn', 'các', 'chương_trình', 'học_thuật', 'bổ_ích', 'cho', 'sinh_viên', 'nữa', 'nha']",thầy_cô vui_tính dễ_thương lắm nha ngoài_ra còn tham_gia nhiều hoạt_động chương_trình vui_nhộn các chương_trình học_thuật bổ_ích cho sinh_viên nữa nha
"Trường có không gian xanh, mát mẻ. Thầy cô dễ thương, thân thiện, và nhiệt huyết, tận tâm, tận tụy vì sinh viên. Môi trường hoc tập lành mạnh, sinh viên được rèn luyện chuyên môn, kỹ năng. Các hoạt động Đoàn - Hội sôi nổi, giúp sinh viên được thực hiện vai trò, trách nhiệm với cộng đồng",1,trường có không gian xanh mát mẻ thầy cô dễ thương thân thiện và nhiệt huyết tận tâm tận tụy vì sinh viên môi trường hoc tập lành mạnh sinh viên được rèn luyện chuyên môn kỹ năng các hoạt động đoàn hội sôi nổi giúp sinh viên được thực hiện vai trò trách nhiệm với cộng đồng,trường có không gian xanh mát mẻ thầy cô dễ thương thân thiện và nhiệt huyết tận tâm tận tụy vì sinh viên môi trường hoc tập lành mạnh sinh viên được rèn luyện chuyên môn kỹ năng các hoạt động đoàn hội sôi nổi giúp sinh viên được thực hiện vai trò trách nhiệm với cộng đồng,"['trường', 'có', 'không_gian', 'xanh', 'mát_mẻ', 'thầy_cô', 'dễ_thương', 'thân_thiện', 'và', 'nhiệt_huyết', 'tận_tâm', 'tận_tụy', 'vì', 'sinh_viên', 'môi_trường', 'hoc', 'tập', 'lành_mạnh', 'sinh_viên', 'được', 'rèn_luyện', 'chuyên_môn', 'kỹ_năng', 'các', 'hoạt_động', 'đoàn', 'hội', 'sôi_nổi', 'giúp', 'sinh_viên', 'được', 'thực_hiện', 'vai_trò', 'trách_nhiệm', 'với', 'cộng_đồng']",trường có không_gian xanh mát_mẻ thầy_cô dễ_thương thân_thiện và nhiệt_huyết tận_tâm tận_tụy vì sinh_viên môi_trường hoc tập lành_mạnh sinh_viên được rèn_luyện chuyên_môn kỹ_năng các hoạt_động đoàn hội sôi_nổi giúp sinh_viên được thực_hiện vai_trò trách_nhiệm với cộng_đồng
"Điểm mạnh nhất của TDMU là đội ngũ giảng viên xuất sắc trong các lĩnh vực. Các thầy cô rất có kinh nghiệm, nhiệt tình và luôn sẵn sàng giúp đỡ sinh viên. Chương trình học cũng được cập nhật thường xuyên để phù hợp với xu hướng và nhu cầu thị trường lao động.
Ngoài ra, TDMU có rất nhiều hoạt động ngoại khóa, CLB và tổ chức sinh viên để sinh viên có thể giao lưu, kết bạn và phát triển các kỹ năng mềm",1,điểm mạnh nhất của tdmu là đội ngũ giảng viên xuất sắc trong các lĩnh vực các thầy cô rất có kinh nghiệm nhiệt tình và luôn sẵn sàng giúp đỡ sinh viên chương trình học cũng được cập nhật thường xuyên để phù hợp với xu hướng và nhu cầu thị trường lao động ngoài ra tdmu có rất nhiều hoạt động ngoại khóa clb và tổ chức sinh viên để sinh viên có thể giao lưu kết bạn và phát triển các kỹ năng mềm,điểm mạnh nhất của tdmu là đội ngũ giảng viên xuất sắc trong các lĩnh vực các thầy cô rất có kinh nghiệm nhiệt tình và luôn sẵn sàng giúp đỡ sinh viên chương trình học cũng được cập nhật thường xuyên để phù hợp với xu hướng và nhu cầu thị trường lao động ngoài ra tdmu có rất nhiều hoạt động ngoại khóa clb và tổ chức sinh viên để sinh viên có thể giao lưu kết bạn và phát triển các kỹ năng mềm,"['điểm', 'mạnh', 'nhất', 'của', 'tdmu', 'là', 'đội_ngũ', 'giảng_viên', 'xuất_sắc', 'trong', 'các', 'lĩnh_vực', 'các', 'thầy_cô', 'rất', 'có', 'kinh_nghiệm', 'nhiệt_tình', 'và', 'luôn', 'sẵn_sàng', 'giúp_đỡ', 'sinh_viên', 'chương_trình', 'học', 'cũng', 'được', 'cập_nhật', 'thường_xuyên', 'để', 'phù_hợp', 'với', 'xu_hướng', 'và', 'nhu_cầu', 'thị_trường', 'lao_động', 'ngoài_ra', 'tdmu', 'có', 'rất', 'nhiều', 'hoạt_động', 'ngoại', 'khóa', 'clb', 'và', 'tổ_chức', 'sinh_viên', 'để', 'sinh_viên', 'có_thể', 'giao_lưu', 'kết_bạn', 'và', 'phát_triển', 'các', 'kỹ_năng', 'mềm']",điểm mạnh nhất của tdmu là đội_ngũ giảng_viên xuất_sắc trong các lĩnh_vực các thầy_cô rất có kinh_nghiệm nhiệt_tình và luôn sẵn_sàng giúp_đỡ sinh_viên chương_trình học cũng được cập_nhật thường_xuyên để phù_hợp với xu_hướng và nhu_cầu thị_trường lao_động ngoài_ra tdmu có rất nhiều hoạt_động ngoại khóa clb và tổ_chức sinh_viên để sinh_viên có_thể giao_lưu kết_bạn và phát_triển các kỹ_năng mềm
"Thầy cô nhiệt tình, chất lượng đào tạo tốt, sinh viên thân thiện ♥️♥️♥️",1,thầy cô nhiệt tình chất lượng đào tạo tốt sinh viên thân thiện,thầy cô nhiệt tình chất lượng đào tạo tốt sinh viên thân thiện,"['thầy_cô', 'nhiệt_tình', 'chất_lượng', 'đào_tạo', 'tốt', 'sinh_viên', 'thân_thiện']",thầy_cô nhiệt_tình chất_lượng đào_tạo tốt sinh_viên thân_thiện
Trường rộng + đẹp + không gian mát,1,trường rộng đẹp không gian mát,trường rộng đẹp không gian mát,"['trường', 'rộng', 'đẹp', 'không_gian', 'mát']",trường rộng đẹp không_gian mát
"nhà trường gửi mail rất thiếu thông tin không rõ ràng, hệ thống điểm danh tệ đôi khi quá đông gây ra tình trạng trễ hoặc sập nhưng không có kế hoạch cho những thời điểm đó mà có thì chỉ cho có một chút thời gian ít ỏi cho hơn vài trăm người để rồi hệ thống lại tiếp tục gặp lỗi thiếu ổn định.",0,nhà trường gửi mail rất thiếu thông tin không rõ ràng hệ thống điểm danh tệ đôi khi quá đông gây ra tình trạng trễ hoặc sập nhưng không có kế hoạch cho những thời điểm đó mà có thì chỉ cho có một chút thời gian ít ỏi cho hơn vài trăm người để rồi hệ thống lại tiếp tục gặp lỗi thiếu ổn định,nhà trường gửi mail rất thiếu thông tin không rõ ràng hệ thống điểm danh tệ đôi khi quá đông gây ra tình trạng trễ hoặc sập nhưng không có kế hoạch cho những thời điểm đó mà có thì chỉ cho có một chút thời gian ít ỏi cho hơn vài trăm người để rồi hệ thống lại tiếp tục gặp lỗi thiếu ổn định,"['nhà_trường', 'gửi', 'mail', 'rất', 'thiếu', 'thông_tin', 'không', 'rõ_ràng', 'hệ_thống', 'điểm_danh', 'tệ', 'đôi_khi', 'quá', 'đông', 'gây', 'ra', 'tình_trạng', 'trễ', 'hoặc', 'sập', 'nhưng', 'không', 'có', 'kế_hoạch', 'cho', 'những', 'thời_điểm', 'đó', 'mà', 'có', 'thì', 'chỉ', 'cho', 'có', 'một_chút', 'thời_gian', 'ít_ỏi', 'cho', 'hơn', 'vài', 'trăm', 'người', 'để', 'rồi', 'hệ_thống', 'lại', 'tiếp_tục', 'gặp', 'lỗi', 'thiếu', 'ổn_định']",nhà_trường gửi mail rất thiếu thông_tin không rõ_ràng hệ_thống điểm_danh tệ đôi_khi quá đông gây ra tình_trạng trễ hoặc sập nhưng không có kế_hoạch cho những thời_điểm đó mà có thì chỉ cho có một_chút thời_gian ít_ỏi cho hơn vài trăm người để rồi hệ_thống lại tiếp_tục gặp lỗi thiếu ổn_định
"Trường rộng, xanh, thiết kế đẹp, nhiều khu vực tự học cho sv, địa điểm lý tưởng để họ tập đây!",1,trường rộng xanh thiết kế đẹp nhiều khu vực tự học cho sv địa điểm lý tưởng để họ tập đây,trường rộng xanh thiết kế đẹp nhiều khu vực tự học cho sv địa điểm lý tưởng để họ tập đây,"['trường', 'rộng', 'xanh', 'thiết_kế', 'đẹp', 'nhiều', 'khu_vực', 'tự', 'học', 'cho', 'sv', 'địa_điểm', 'lý_tưởng', 'để', 'họ', 'tập', 'đây']",trường rộng xanh thiết_kế đẹp nhiều khu_vực tự học cho sv địa_điểm lý_tưởng để họ tập đây
"Chế độ đăng kí học phần, giải quyết vấn đề rất tệ, học phần đăng kí onl ko dc chuyển qua đăng kí giấy thì nhà trường làm mất đơn 2 3 lần làm chậm trễ việc tốt nghiệp cả năm (chưa kể môn học đâu phài cứ đăng kí là có). Học phí thì cao mà làm việc quá chán. Rất thất vọng !!!",0,chế độ đăng kí học phần giải quyết vấn đề rất tệ học phần đăng kí onl ko dc chuyển qua đăng kí giấy thì nhà trường làm mất đơn 2 3 lần làm chậm trễ việc tốt nghiệp cả năm chưa kể môn học đâu phài cứ đăng kí là có học phí thì cao mà làm việc quá chán rất thất vọng,chế độ đăng kí học phần giải quyết vấn đề rất tệ học phần đăng kí onl ko dc chuyển qua đăng kí giấy thì nhà trường làm mất đơn 2 3 lần làm chậm trễ việc tốt nghiệp cả năm chưa kể môn học đâu phài cứ đăng kí là có học phí thì cao mà làm việc quá chán rất thất vọng,"['chế_độ', 'đăng_kí', 'học_phần', 'giải_quyết', 'vấn_đề', 'rất', 'tệ', 'học_phần', 'đăng_kí', 'onl', 'ko', 'dc', 'chuyển', 'qua', 'đăng_kí', 'giấy', 'thì', 'nhà_trường', 'làm', 'mất', 'đơn', '2', '3', 'lần', 'làm', 'chậm_trễ', 'việc', 'tốt_nghiệp', 'cả', 'năm', 'chưa', 'kể', 'môn_học', 'đâu', 'phài', 'cứ', 'đăng_kí', 'là', 'có', 'học_phí', 'thì', 'cao', 'mà', 'làm_việc', 'quá', 'chán', 'rất', 'thất_vọng']",chế_độ đăng_kí học_phần giải_quyết vấn_đề rất tệ học_phần đăng_kí onl ko dc chuyển qua đăng_kí giấy thì nhà_trường làm mất đơn 2 3 lần làm chậm_trễ việc tốt_nghiệp cả năm chưa kể môn_học đâu phài cứ đăng_kí là có học_phí thì cao mà làm_việc quá chán rất thất_vọng
"Thông báo xem trên web ở gg k thấy gì hết lun í. Toàn là thông báo hội nghị gì đó k à, mò lên trên fb kiếm mãi mới thấy đc. Mong trường có thể gửi thông báo rõ với dễ tìm",0,thông báo xem trên web ở gg k thấy gì hết lun í toàn là thông báo hội nghị gì đó k à mò lên trên fb kiếm mãi mới thấy đc mong trường có thể gửi thông báo rõ với dễ tìm,thông báo xem trên web ở gg k thấy gì hết lun í toàn là thông báo hội nghị gì đó k à mò lên trên fb kiếm mãi mới thấy đc mong trường có thể gửi thông báo rõ với dễ tìm,"['thông_báo', 'xem', 'trên', 'web', 'ở', 'gg', 'k', 'thấy', 'gì', 'hết', 'lun', 'í', 'toàn', 'là', 'thông_báo', 'hội_nghị', 'gì', 'đó', 'k', 'à', 'mò', 'lên', 'trên', 'fb', 'kiếm', 'mãi', 'mới', 'thấy', 'đc', 'mong', 'trường', 'có_thể', 'gửi', 'thông_báo', 'rõ', 'với', 'dễ', 'tìm']",thông_báo xem trên web ở gg k thấy gì hết lun í toàn là thông_báo hội_nghị gì đó k à mò lên trên fb kiếm mãi mới thấy đc mong trường có_thể gửi thông_báo rõ với dễ tìm
